Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Nombre del espacio de vida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Especifica el espacio de vida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/¿En qué ciclos agricolas cultivo esta parcela?,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/¿Cuantas actividades realiza en el espacio de vida?,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/¿Cuantas actividades realiza en el espacio de vida?,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status
Milpa o Huerto,,,2,,241,Clone of Encuesta de productores,121,44058218,14d8f86d-7cce-420a-8444-761446e14fe7,2020-01-01T07:06:48,
Traspatio,,,1,,242,Clone of Encuesta de productores,121,44058218,14d8f86d-7cce-420a-8444-761446e14fe7,2020-01-01T07:06:48,
Milpa o Huerto,,,1,,243,Clone of Encuesta de productores,122,44058225,2f3c715e-3ddf-41fa-a7da-650b70158691,2020-01-01T07:07:02,
Monte,,,2,,244,Clone of Encuesta de productores,122,44058225,2f3c715e-3ddf-41fa-a7da-650b70158691,2020-01-01T07:07:02,
Milpa o Huerto,,,1,,245,Clone of Encuesta de productores,123,44058234,6412bbc4-1cd1-470d-bbd2-4edb58704f61,2020-01-01T07:07:14,
Traspatio,,,1,,246,Clone of Encuesta de productores,123,44058234,6412bbc4-1cd1-470d-bbd2-4edb58704f61,2020-01-01T07:07:14,
Traspatio,,,1,,247,Clone of Encuesta de productores,124,44058242,05e8aab0-f96c-497a-8ddb-e3236232262c,2020-01-01T07:07:23,
Milpa o Huerto,,,,,248,Clone of Encuesta de productores,125,44058250,6563e3c9-18e7-4e1c-822e-bf04281af783,2020-01-01T07:07:37,
Traspatio,,,1,,249,Clone of Encuesta de productores,125,44058250,6563e3c9-18e7-4e1c-822e-bf04281af783,2020-01-01T07:07:37,
Milpa o Huerto,,,1,,250,Clone of Encuesta de productores,126,44058253,26495c7e-764b-43ae-a19c-2810a8ee88b0,2020-01-01T07:07:48,
Milpa o Huerto,,,1,,251,Clone of Encuesta de productores,127,44058256,1c54104e-68cc-415e-a866-389841909c16,2020-01-01T07:07:59,
Milpa o Huerto,,,1,,252,Clone of Encuesta de productores,128,44443452,f418de05-f08f-46f1-bf39-ca3caace4ab0,2020-01-09T04:53:41,
Milpa o Huerto,,,1,,253,Clone of Encuesta de productores,129,44443458,077fba51-849c-4a0e-b67c-59a4696fc9da,2020-01-09T04:53:51,
Milpa o Huerto,,,1,,254,Clone of Encuesta de productores,130,44443465,be269769-150f-41d0-9d42-1a767952ab27,2020-01-09T04:54:07,
Milpa o Huerto,,,1,,255,Clone of Encuesta de productores,131,44443475,bed75102-7170-4799-b2dd-996d8c209ce4,2020-01-09T04:54:20,
Tianguis,,,1,,256,Clone of Encuesta de productores,132,44443484,278bfce9-4cf7-4d05-8703-e6c2c20e9e62,2020-01-09T04:54:33,
Milpa o Huerto,,,1,,257,Clone of Encuesta de productores,133,44443493,8c90ddab-bb11-497b-979d-c0d25815c953,2020-01-09T04:54:45,
Milpa o Huerto,,,1,,258,Clone of Encuesta de productores,134,44443503,796e021d-73ab-4467-834f-58cea3752982,2020-01-09T04:54:58,
Milpa o Huerto,,,1,,259,Clone of Encuesta de productores,135,44443516,5e02aac7-bd8c-4a6d-b89f-bfec57275b57,2020-01-09T04:55:09,
Milpa o Huerto,,,1,,260,Clone of Encuesta de productores,136,44570936,75f8ca16-483c-4b77-acda-2d171a136297,2020-01-11T02:31:49,
Milpa o Huerto,,,1,,261,Clone of Encuesta de productores,137,44570902,e7feb9aa-dd51-421f-b71a-527ff87b3b67,2020-01-11T02:31:09,
Milpa o Huerto,,,1,,262,Clone of Encuesta de productores,138,44570898,ca104245-b835-42de-bdb2-45c23af0e51e,2020-01-11T02:31:01,
Milpa o Huerto,,,1,,263,Clone of Encuesta de productores,139,44570906,01792564-e531-4137-b1f9-f7e8d204121e,2020-01-11T02:31:21,
Milpa o Huerto,,,1,,264,Clone of Encuesta de productores,140,44570909,5d9279f3-68fc-4950-b2f2-9b7258c6af2a,2020-01-11T02:31:31,
Milpa o Huerto,,,1,,265,Clone of Encuesta de productores,141,44570925,9b04a328-66c5-473c-a7a7-4db00d879958,2020-01-11T02:31:41,
Milpa o Huerto,,,1,,266,Clone of Encuesta de productores,142,45507370,c9b57760-94fc-4c1e-b4e0-30fca4d7b7f0,2020-01-26T06:44:13,
Milpa o Huerto,,,1,,267,Clone of Encuesta de productores,143,45507372,ccac0ff3-0201-4162-b303-d753b4e1e12b,2020-01-26T06:44:19,
Monte,,,1,,268,Clone of Encuesta de productores,144,45507374,051cf833-c30b-4471-8edf-b875653aae8f,2020-01-26T06:44:25,
Milpa o Huerto,,,1,,269,Clone of Encuesta de productores,145,45507376,f4922275-7c5b-4530-b946-46a3760efa14,2020-01-26T06:44:32,
Milpa o Huerto,,,1,,270,Clone of Encuesta de productores,146,45507379,52016445-3631-4c24-8134-5630580c11bb,2020-01-26T06:44:38,
Milpa o Huerto,,,1,,271,Clone of Encuesta de productores,147,45507381,76c8f60c-c43b-4c63-9b37-b430ca23d0c1,2020-01-26T06:44:46,
Milpa o Huerto,,,1,,272,Clone of Encuesta de productores,148,45507383,1a9e5df3-c2fa-4dd4-9193-a238908d8e53,2020-01-26T06:44:53,
Milpa o Huerto,,,1,,273,Clone of Encuesta de productores,149,45507386,5baf22e0-b5ff-4e2e-bf12-6889dec8ea46,2020-01-26T06:45:00,
Tianguis,,,1,,274,Clone of Encuesta de productores,149,45507386,5baf22e0-b5ff-4e2e-bf12-6889dec8ea46,2020-01-26T06:45:00,
Milpa o Huerto,,,1,,275,Clone of Encuesta de productores,150,45507388,a5b483fa-aac8-4211-ad72-69581a43b747,2020-01-26T06:45:08,
Monte,,,1,,276,Clone of Encuesta de productores,151,45507458,8b2b6fa2-252d-43e1-98a3-782e7f0406da,2020-01-26T06:46:49,
Milpa o Huerto,,,1,,277,Clone of Encuesta de productores,152,45507460,7fda6f5d-3935-44ff-99fd-26ab43e31780,2020-01-26T06:46:58,
Milpa o Huerto,,,1,,278,Clone of Encuesta de productores,153,45507462,4d02a31a-aaba-4dc4-9695-59ea4d5bed0b,2020-01-26T06:47:09,
Traspatio,,,1,,279,Clone of Encuesta de productores,154,45507465,df0e49bf-54b2-41ca-a39e-235e50abed0f,2020-01-26T06:47:18,
Milpa o Huerto,,,1,,280,Clone of Encuesta de productores,155,45507468,0c65d88b-440d-4422-8f3a-751b09415e07,2020-01-26T06:47:23,
Milpa o Huerto,,,1,,281,Clone of Encuesta de productores,156,45507470,fd82272b-6da2-416b-8426-4d375deda5f9,2020-01-26T06:47:25,
Milpa o Huerto,,,1,,282,Clone of Encuesta de productores,157,45507472,d475dc80-931b-470d-8f92-b4dd66ca4a3c,2020-01-26T06:47:27,
Milpa o Huerto,,,1,,283,Clone of Encuesta de productores,158,45507474,b5169819-6674-4a6c-979b-43ebd8c1a986,2020-01-26T06:47:30,
Milpa o Huerto,,,1,,284,Clone of Encuesta de productores,159,46843249,cd4d5576-06e0-4d36-b978-b7be44b06abf,2020-02-16T04:45:34,
Milpa o Huerto,,,1,,285,Clone of Encuesta de productores,160,46843254,cc577aa1-783d-4fb1-bdce-fa2bf139f795,2020-02-16T04:45:40,
Milpa o Huerto,,,1,,286,Clone of Encuesta de productores,161,46843263,a510c779-ae63-446a-8ec8-546ee147850f,2020-02-16T04:45:51,
Otro,Parcela,No aplica,1,,287,Clone of Encuesta de productores,162,46844650,feeb4fbb-9d34-40b8-b83a-1ba83736413c,2020-02-16T05:45:18,
Milpa o Huerto,,,1,,288,Clone of Encuesta de productores,163,48319986,4cd249fa-0a98-4ab3-bfdf-60ec7edc8ad3,2020-03-06T15:49:10,
